message,timestamp,severity,tags,attributes
unpacking archive,2026-07-08T11:05:20.523819574Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""f8a8ada0-2bdb-4010-b5a5-44417b9657e1"",""deploymentInstanceId"":null}","{""source"":""railway.progress"",""status"":""complete"",""size"":1034240,""duration_ms"":11,""level"":""info""}"
uploading snapshot,2026-07-08T11:05:20.588350306Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""f8a8ada0-2bdb-4010-b5a5-44417b9657e1"",""deploymentInstanceId"":null}","{""source"":""railway.progress"",""status"":""complete"",""size"":221177,""duration_ms"":0,""level"":""info""}"
using build driver nixpacks-v1.41.0,2026-07-08T11:05:20.630486206Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""f8a8ada0-2bdb-4010-b5a5-44417b9657e1"",""deploymentInstanceId"":null}","{""level"":""info""}"
"scheduling build on Metal builder ""builder-qdawxc""",2026-07-08T11:05:20.691489614Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
,2026-07-08T11:05:20.764882523Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""f8a8ada0-2bdb-4010-b5a5-44417b9657e1"",""deploymentInstanceId"":null}","{""level"":""info""}"
╔═════════════ Nixpacks v1.41.0 ════════════╗,2026-07-08T11:05:20.764889644Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""f8a8ada0-2bdb-4010-b5a5-44417b9657e1"",""deploymentInstanceId"":null}","{""level"":""info""}"
"║ setup      │ nodejs_18, pnpm-9_x, openssl ║",2026-07-08T11:05:20.764891777Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""f8a8ada0-2bdb-4010-b5a5-44417b9657e1"",""deploymentInstanceId"":null}","{""level"":""info""}"
║───────────────────────────────────────────║,2026-07-08T11:05:20.764894021Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""f8a8ada0-2bdb-4010-b5a5-44417b9657e1"",""deploymentInstanceId"":null}","{""level"":""info""}"
║ install    │ pnpm i --frozen-lockfile     ║,2026-07-08T11:05:20.764895022Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""f8a8ada0-2bdb-4010-b5a5-44417b9657e1"",""deploymentInstanceId"":null}","{""level"":""info""}"
║───────────────────────────────────────────║,2026-07-08T11:05:20.764896585Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""f8a8ada0-2bdb-4010-b5a5-44417b9657e1"",""deploymentInstanceId"":null}","{""level"":""info""}"
║ build      │ pnpm run build               ║,2026-07-08T11:05:20.764898938Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""f8a8ada0-2bdb-4010-b5a5-44417b9657e1"",""deploymentInstanceId"":null}","{""level"":""info""}"
║───────────────────────────────────────────║,2026-07-08T11:05:20.764899789Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""f8a8ada0-2bdb-4010-b5a5-44417b9657e1"",""deploymentInstanceId"":null}","{""level"":""info""}"
║ start      │ bash bot/run.sh              ║,2026-07-08T11:05:20.764900481Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""f8a8ada0-2bdb-4010-b5a5-44417b9657e1"",""deploymentInstanceId"":null}","{""level"":""info""}"
╚═══════════════════════════════════════════╝,2026-07-08T11:05:20.764901993Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""f8a8ada0-2bdb-4010-b5a5-44417b9657e1"",""deploymentInstanceId"":null}","{""level"":""info""}"
,2026-07-08T11:05:20.764903125Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""f8a8ada0-2bdb-4010-b5a5-44417b9657e1"",""deploymentInstanceId"":null}","{""level"":""info""}"
,2026-07-08T11:05:20.768227282Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""f8a8ada0-2bdb-4010-b5a5-44417b9657e1"",""deploymentInstanceId"":null}","{""level"":""info""}"
Saved output to:,2026-07-08T11:05:20.768229826Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""f8a8ada0-2bdb-4010-b5a5-44417b9657e1"",""deploymentInstanceId"":null}","{""level"":""info""}"
  snapshot-target-unpack,2026-07-08T11:05:20.768231959Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""f8a8ada0-2bdb-4010-b5a5-44417b9657e1"",""deploymentInstanceId"":null}","{""level"":""info""}"
[internal] load build definition from Dockerfile,2026-07-08T11:05:20.862743484Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""f8a8ada0-2bdb-4010-b5a5-44417b9657e1"",""deploymentInstanceId"":null}","{""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:a96bf86709d919f0a6ba23b36477ed20e1e29c00543e700da1f579956a808015"",""level"":""info""}"
[internal] load build definition from Dockerfile,2026-07-08T11:05:20.862882973Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""f8a8ada0-2bdb-4010-b5a5-44417b9657e1"",""deploymentInstanceId"":null}","{""source"":""buildkit"",""type"":""vertex"",""completed"":""2026-07-08T11:05:20.862693198Z"",""level"":""info"",""digest"":""sha256:a96bf86709d919f0a6ba23b36477ed20e1e29c00543e700da1f579956a808015"",""started"":""2026-07-08T11:05:20.86263429Z""}"
[internal] load build definition from Dockerfile,2026-07-08T11:05:20.865854612Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""f8a8ada0-2bdb-4010-b5a5-44417b9657e1"",""deploymentInstanceId"":null}","{""source"":""buildkit"",""type"":""vertex"",""started"":""2026-07-08T11:05:20.865651767Z"",""level"":""info"",""digest"":""sha256:a96bf86709d919f0a6ba23b36477ed20e1e29c00543e700da1f579956a808015""}"
[internal] load build definition from Dockerfile,2026-07-08T11:05:21.143766298Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""f8a8ada0-2bdb-4010-b5a5-44417b9657e1"",""deploymentInstanceId"":null}","{""source"":""buildkit"",""type"":""vertex"",""completed"":""2026-07-08T11:05:21.143313399Z"",""level"":""info"",""digest"":""sha256:a96bf86709d919f0a6ba23b36477ed20e1e29c00543e700da1f579956a808015"",""started"":""2026-07-08T11:05:20.865651767Z""}"
[internal] load metadata for ghcr.io/railwayapp/nixpacks:ubuntu-1745885067,2026-07-08T11:05:21.159686655Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""f8a8ada0-2bdb-4010-b5a5-44417b9657e1"",""deploymentInstanceId"":null}","{""source"":""buildkit"",""type"":""vertex"",""started"":""2026-07-08T11:05:21.159098473Z"",""level"":""info"",""digest"":""sha256:2b1ddac473557e0070f0e364e586c6092ed09e60d811f10361379ca6929bd127""}"
[internal] load metadata for ghcr.io/railwayapp/nixpacks:ubuntu-1745885067,2026-07-08T11:05:21.338460156Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""f8a8ada0-2bdb-4010-b5a5-44417b9657e1"",""deploymentInstanceId"":null}","{""source"":""buildkit"",""type"":""vertex"",""completed"":""2026-07-08T11:05:21.337653676Z"",""level"":""info"",""digest"":""sha256:2b1ddac473557e0070f0e364e586c6092ed09e60d811f10361379ca6929bd127"",""started"":""2026-07-08T11:05:21.159098473Z""}"
