message,timestamp,severity,tags,attributes
║ build      │ pnpm run build                       ║,2026-07-08T10:53:44.222942021Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""130eb3ce-7e09-4599-93d0-147e32549a13"",""deploymentInstanceId"":null}","{""level"":""info""}"
║───────────────────────────────────────────────────║,2026-07-08T10:53:44.222943212Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""130eb3ce-7e09-4599-93d0-147e32549a13"",""deploymentInstanceId"":null}","{""level"":""info""}"
║ start      │ bash bot/run.sh                      ║,2026-07-08T10:53:44.222944024Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""130eb3ce-7e09-4599-93d0-147e32549a13"",""deploymentInstanceId"":null}","{""level"":""info""}"
╚═══════════════════════════════════════════════════╝,2026-07-08T10:53:44.222945085Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""130eb3ce-7e09-4599-93d0-147e32549a13"",""deploymentInstanceId"":null}","{""level"":""info""}"
,2026-07-08T10:53:44.222945696Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""130eb3ce-7e09-4599-93d0-147e32549a13"",""deploymentInstanceId"":null}","{""level"":""info""}"
,2026-07-08T10:53:44.223825246Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""130eb3ce-7e09-4599-93d0-147e32549a13"",""deploymentInstanceId"":null}","{""level"":""info""}"
Saved output to:,2026-07-08T10:53:44.223839517Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""130eb3ce-7e09-4599-93d0-147e32549a13"",""deploymentInstanceId"":null}","{""level"":""info""}"
  snapshot-target-unpack,2026-07-08T10:53:44.223842682Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""130eb3ce-7e09-4599-93d0-147e32549a13"",""deploymentInstanceId"":null}","{""level"":""info""}"
[internal] load build definition from Dockerfile,2026-07-08T10:53:44.318201687Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""130eb3ce-7e09-4599-93d0-147e32549a13"",""deploymentInstanceId"":null}","{""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:b8895a0f65ab128339d2b7053c19a3966a3530a053f1e7f5ccd04dd4751e3cf8"",""level"":""info""}"
[internal] load build definition from Dockerfile,2026-07-08T10:53:44.318312283Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""130eb3ce-7e09-4599-93d0-147e32549a13"",""deploymentInstanceId"":null}","{""source"":""buildkit"",""type"":""vertex"",""completed"":""2026-07-08T10:53:44.318117681Z"",""level"":""info"",""digest"":""sha256:b8895a0f65ab128339d2b7053c19a3966a3530a053f1e7f5ccd04dd4751e3cf8"",""started"":""2026-07-08T10:53:44.318061928Z""}"
[internal] load build definition from Dockerfile,2026-07-08T10:53:44.318554447Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""130eb3ce-7e09-4599-93d0-147e32549a13"",""deploymentInstanceId"":null}","{""source"":""buildkit"",""type"":""vertex"",""started"":""2026-07-08T10:53:44.318307917Z"",""level"":""info"",""digest"":""sha256:b8895a0f65ab128339d2b7053c19a3966a3530a053f1e7f5ccd04dd4751e3cf8""}"
[internal] load build definition from Dockerfile,2026-07-08T10:53:44.366610369Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""130eb3ce-7e09-4599-93d0-147e32549a13"",""deploymentInstanceId"":null}","{""source"":""buildkit"",""type"":""vertex"",""completed"":""2026-07-08T10:53:44.366371431Z"",""level"":""info"",""digest"":""sha256:b8895a0f65ab128339d2b7053c19a3966a3530a053f1e7f5ccd04dd4751e3cf8"",""started"":""2026-07-08T10:53:44.318307917Z""}"
[internal] load metadata for ghcr.io/railwayapp/nixpacks:ubuntu-1745885067,2026-07-08T10:53:44.381290506Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""130eb3ce-7e09-4599-93d0-147e32549a13"",""deploymentInstanceId"":null}","{""source"":""buildkit"",""type"":""vertex"",""started"":""2026-07-08T10:53:44.380911006Z"",""level"":""info"",""digest"":""sha256:2b1ddac473557e0070f0e364e586c6092ed09e60d811f10361379ca6929bd127""}"
[internal] load metadata for ghcr.io/railwayapp/nixpacks:ubuntu-1745885067,2026-07-08T10:53:44.681107709Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""130eb3ce-7e09-4599-93d0-147e32549a13"",""deploymentInstanceId"":null}","{""source"":""buildkit"",""type"":""vertex"",""completed"":""2026-07-08T10:53:44.680764845Z"",""level"":""info"",""digest"":""sha256:2b1ddac473557e0070f0e364e586c6092ed09e60d811f10361379ca6929bd127"",""started"":""2026-07-08T10:53:44.380911006Z""}"
[internal] load .dockerignore,2026-07-08T10:53:44.681964845Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""130eb3ce-7e09-4599-93d0-147e32549a13"",""deploymentInstanceId"":null}","{""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:c45f737f85d141c51d7b88e96d4b3f20c9786013e4a48dfa01d421b3a5811807"",""level"":""info""}"
[internal] load .dockerignore,2026-07-08T10:53:44.682169873Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""130eb3ce-7e09-4599-93d0-147e32549a13"",""deploymentInstanceId"":null}","{""source"":""buildkit"",""type"":""vertex"",""completed"":""2026-07-08T10:53:44.681864785Z"",""level"":""info"",""digest"":""sha256:c45f737f85d141c51d7b88e96d4b3f20c9786013e4a48dfa01d421b3a5811807"",""started"":""2026-07-08T10:53:44.68182162Z""}"
[internal] load .dockerignore,2026-07-08T10:53:44.682196863Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""130eb3ce-7e09-4599-93d0-147e32549a13"",""deploymentInstanceId"":null}","{""source"":""buildkit"",""type"":""vertex"",""started"":""2026-07-08T10:53:44.681996563Z"",""level"":""info"",""digest"":""sha256:c45f737f85d141c51d7b88e96d4b3f20c9786013e4a48dfa01d421b3a5811807""}"
[internal] load .dockerignore,2026-07-08T10:53:44.737464767Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""130eb3ce-7e09-4599-93d0-147e32549a13"",""deploymentInstanceId"":null}","{""source"":""buildkit"",""type"":""vertex"",""completed"":""2026-07-08T10:53:44.737145027Z"",""level"":""info"",""digest"":""sha256:c45f737f85d141c51d7b88e96d4b3f20c9786013e4a48dfa01d421b3a5811807"",""started"":""2026-07-08T10:53:44.681996563Z""}"
