message,timestamp,severity,tags,attributes
"scheduling build on Metal builder ""builder-qdawxc""",2026-07-08T10:49:05.664944133Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
unpacking archive,2026-07-08T10:49:05.690516218Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""57d853e4-d497-40b7-8d9a-a4b6cec69b74"",""deploymentInstanceId"":null}","{""source"":""railway.progress"",""status"":""complete"",""size"":1085440,""duration_ms"":9,""level"":""info""}"
uploading snapshot,2026-07-08T10:49:05.771342690Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""57d853e4-d497-40b7-8d9a-a4b6cec69b74"",""deploymentInstanceId"":null}","{""source"":""railway.progress"",""status"":""complete"",""size"":224371,""duration_ms"":14,""level"":""info""}"
using build driver nixpacks-v1.41.0,2026-07-08T10:49:05.795844341Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""57d853e4-d497-40b7-8d9a-a4b6cec69b74"",""deploymentInstanceId"":null}","{""level"":""info""}"
,2026-07-08T10:49:05.954692636Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""57d853e4-d497-40b7-8d9a-a4b6cec69b74"",""deploymentInstanceId"":null}","{""level"":""info""}"
╔════════════════ Nixpacks v1.41.0 ════════════════╗,2026-07-08T10:49:05.954712566Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""57d853e4-d497-40b7-8d9a-a4b6cec69b74"",""deploymentInstanceId"":null}","{""level"":""info""}"
"║ setup      │ nodejs_18, pnpm-9_x, openssl        ║",2026-07-08T10:49:05.954716392Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""57d853e4-d497-40b7-8d9a-a4b6cec69b74"",""deploymentInstanceId"":null}","{""level"":""info""}"
║──────────────────────────────────────────────────║,2026-07-08T10:49:05.954719757Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""57d853e4-d497-40b7-8d9a-a4b6cec69b74"",""deploymentInstanceId"":null}","{""level"":""info""}"
║ install    │ pip install -r bot/requirements.txt ║,2026-07-08T10:49:05.954720919Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""57d853e4-d497-40b7-8d9a-a4b6cec69b74"",""deploymentInstanceId"":null}","{""level"":""info""}"
║──────────────────────────────────────────────────║,2026-07-08T10:49:05.954722361Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""57d853e4-d497-40b7-8d9a-a4b6cec69b74"",""deploymentInstanceId"":null}","{""level"":""info""}"
║ build      │ pnpm run build                      ║,2026-07-08T10:49:05.954723342Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""57d853e4-d497-40b7-8d9a-a4b6cec69b74"",""deploymentInstanceId"":null}","{""level"":""info""}"
║──────────────────────────────────────────────────║,2026-07-08T10:49:05.954724785Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""57d853e4-d497-40b7-8d9a-a4b6cec69b74"",""deploymentInstanceId"":null}","{""level"":""info""}"
║ start      │ bash bot/run.sh                     ║,2026-07-08T10:49:05.954725766Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""57d853e4-d497-40b7-8d9a-a4b6cec69b74"",""deploymentInstanceId"":null}","{""level"":""info""}"
╚══════════════════════════════════════════════════╝,2026-07-08T10:49:05.954727138Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""57d853e4-d497-40b7-8d9a-a4b6cec69b74"",""deploymentInstanceId"":null}","{""level"":""info""}"
,2026-07-08T10:49:05.954727879Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""57d853e4-d497-40b7-8d9a-a4b6cec69b74"",""deploymentInstanceId"":null}","{""level"":""info""}"
,2026-07-08T10:49:05.955577764Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""57d853e4-d497-40b7-8d9a-a4b6cec69b74"",""deploymentInstanceId"":null}","{""level"":""info""}"
Saved output to:,2026-07-08T10:49:05.955590253Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""57d853e4-d497-40b7-8d9a-a4b6cec69b74"",""deploymentInstanceId"":null}","{""level"":""info""}"
  snapshot-target-unpack,2026-07-08T10:49:05.955592827Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""57d853e4-d497-40b7-8d9a-a4b6cec69b74"",""deploymentInstanceId"":null}","{""level"":""info""}"
[internal] load build definition from Dockerfile,2026-07-08T10:49:06.082192316Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""57d853e4-d497-40b7-8d9a-a4b6cec69b74"",""deploymentInstanceId"":null}","{""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:9e13bfc29c5818986d516fd29e56ed19cc77e1cbe3306330dafd1967f97dc166"",""level"":""info""}"
[internal] load build definition from Dockerfile,2026-07-08T10:49:06.082276002Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""57d853e4-d497-40b7-8d9a-a4b6cec69b74"",""deploymentInstanceId"":null}","{""source"":""buildkit"",""type"":""vertex"",""completed"":""2026-07-08T10:49:06.082122732Z"",""level"":""info"",""digest"":""sha256:9e13bfc29c5818986d516fd29e56ed19cc77e1cbe3306330dafd1967f97dc166"",""started"":""2026-07-08T10:49:06.08207496Z""}"
[internal] load build definition from Dockerfile,2026-07-08T10:49:06.082461610Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""57d853e4-d497-40b7-8d9a-a4b6cec69b74"",""deploymentInstanceId"":null}","{""source"":""buildkit"",""type"":""vertex"",""started"":""2026-07-08T10:49:06.082292987Z"",""level"":""info"",""digest"":""sha256:9e13bfc29c5818986d516fd29e56ed19cc77e1cbe3306330dafd1967f97dc166""}"
[internal] load build definition from Dockerfile,2026-07-08T10:49:06.166883506Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""57d853e4-d497-40b7-8d9a-a4b6cec69b74"",""deploymentInstanceId"":null}","{""source"":""buildkit"",""type"":""vertex"",""completed"":""2026-07-08T10:49:06.166542935Z"",""level"":""info"",""digest"":""sha256:9e13bfc29c5818986d516fd29e56ed19cc77e1cbe3306330dafd1967f97dc166"",""started"":""2026-07-08T10:49:06.082292987Z""}"
[internal] load metadata for ghcr.io/railwayapp/nixpacks:ubuntu-1745885067,2026-07-08T10:49:06.190321492Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""57d853e4-d497-40b7-8d9a-a4b6cec69b74"",""deploymentInstanceId"":null}","{""source"":""buildkit"",""type"":""vertex"",""started"":""2026-07-08T10:49:06.189984627Z"",""level"":""info"",""digest"":""sha256:2b1ddac473557e0070f0e364e586c6092ed09e60d811f10361379ca6929bd127""}"
