message,timestamp,severity,tags,attributes
"scheduling build on Metal builder ""builder-qdawxc""",2026-07-08T11:02:54.608572730Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
unpacking archive,2026-07-08T11:02:54.646714574Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""9d608935-628a-4468-870b-624950152e29"",""deploymentInstanceId"":null}","{""source"":""railway.progress"",""status"":""complete"",""size"":1034240,""duration_ms"":9,""level"":""info""}"
uploading snapshot,2026-07-08T11:02:54.743007201Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""9d608935-628a-4468-870b-624950152e29"",""deploymentInstanceId"":null}","{""source"":""railway.progress"",""status"":""complete"",""size"":221209,""duration_ms"":14,""level"":""info""}"
using build driver nixpacks-v1.41.0,2026-07-08T11:02:54.743499960Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""9d608935-628a-4468-870b-624950152e29"",""deploymentInstanceId"":null}","{""level"":""info""}"
,2026-07-08T11:02:54.882463090Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""9d608935-628a-4468-870b-624950152e29"",""deploymentInstanceId"":null}","{""level"":""info""}"
╔════════════════════════════ Nixpacks v1.41.0 ════════════════════════════╗,2026-07-08T11:02:54.882478543Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""9d608935-628a-4468-870b-624950152e29"",""deploymentInstanceId"":null}","{""level"":""info""}"
"║ setup      │ nodejs_18, pnpm-9_x, openssl                                ║",2026-07-08T11:02:54.882480816Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""9d608935-628a-4468-870b-624950152e29"",""deploymentInstanceId"":null}","{""level"":""info""}"
║──────────────────────────────────────────────────────────────────────────║,2026-07-08T11:02:54.882483470Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""9d608935-628a-4468-870b-624950152e29"",""deploymentInstanceId"":null}","{""level"":""info""}"
║ install    │ pip install --break-system-packages -r bot/requirements.txt ║,2026-07-08T11:02:54.882484382Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""9d608935-628a-4468-870b-624950152e29"",""deploymentInstanceId"":null}","{""level"":""info""}"
║──────────────────────────────────────────────────────────────────────────║,2026-07-08T11:02:54.882485633Z,info,"{""serviceId"":""de6023d4-d688-4ec0-aa7f-24b2f15dafb7"",""deploymentId"":""9d608935-628a-4468-870b-624950152e29"",""deploymentInstanceId"":null}","{""level"":""info""}"
